iter	MultiClass
0	1.199066822
1	1.06798995
2	0.9693210097
3	0.8911635794
4	0.8260236266
5	0.771196599
6	0.7257807319
7	0.6872775256
8	0.6531728468
9	0.6243660654
10	0.5979727736
11	0.5756548045
12	0.5559690021
13	0.5401300224
14	0.5243181516
15	0.5079816527
16	0.4936660536
17	0.4820936584
18	0.4701779898
19	0.4606755569
20	0.4522057068
21	0.4434874063
22	0.4367462551
23	0.4293982077
24	0.4222880473
25	0.4168434497
26	0.4115045245
27	0.4062123737
28	0.4018426926
29	0.3971868496
30	0.3929241878
31	0.3891426985
32	0.385161071
33	0.382281648
34	0.3796624518
35	0.3768901945
36	0.3740885135
37	0.3715085602
38	0.3694751219
39	0.3672718826
40	0.3647984436
41	0.3628191501
42	0.3609584657
43	0.3590708283
44	0.3569274409
45	0.3546640553
46	0.3531434758
47	0.3517673958
48	0.350347037
49	0.3484379858
50	0.3471343943
51	0.3463762017
52	0.3446077393
53	0.3432090619
54	0.342094432
55	0.3413002605
56	0.34009565
57	0.3390350235
58	0.3382848946
59	0.3375105233
60	0.3360028182
61	0.3349586667
62	0.3339537493
63	0.332874825
64	0.3322375522
65	0.3314584332
66	0.3306871952
67	0.3294610989
68	0.3282474371
69	0.327700717
70	0.3268569332
71	0.3257738634
72	0.3251155996
73	0.3244290903
74	0.323943979
75	0.3233280093
76	0.3226617617
77	0.3219070444
78	0.3213605639
79	0.3208791812
80	0.3198683458
81	0.319438869
82	0.3190281304
83	0.3181884326
84	0.3171622325
85	0.3165247989
86	0.3161588908
87	0.3157502717
88	0.3151130646
89	0.3146098242
90	0.3142028575
91	0.3139097508
92	0.3135432955
93	0.3129999889
94	0.3125457688
95	0.3121501045
96	0.3115541432
97	0.3113067026
98	0.3107634569
99	0.3103600049
