iter	Passed	Remaining
0	30	3026
1	58	2879
2	85	2773
3	111	2676
4	136	2599
5	160	2514
6	187	2496
7	212	2443
8	237	2397
9	261	2352
10	286	2314
11	309	2268
12	332	2224
13	353	2170
14	376	2135
15	399	2095
16	424	2072
17	447	2040
18	472	2013
19	496	1987
20	518	1950
21	539	1912
22	561	1880
23	582	1844
24	603	1811
25	625	1780
26	647	1750
27	670	1723
28	694	1701
29	717	1674
30	742	1652
31	768	1632
32	792	1609
33	824	1600
34	849	1578
35	874	1555
36	901	1534
37	927	1513
38	957	1498
39	985	1477
40	1012	1457
41	1037	1432
42	1064	1410
43	1088	1385
44	1111	1358
45	1134	1332
46	1158	1306
47	1180	1279
48	1201	1250
49	1224	1224
50	1245	1196
51	1267	1169
52	1289	1143
53	1312	1118
54	1338	1095
55	1364	1072
56	1389	1048
57	1414	1024
58	1438	999
59	1461	974
60	1482	947
61	1504	922
62	1526	896
63	1547	870
64	1572	846
65	1594	821
66	1616	796
67	1640	771
68	1662	747
69	1685	722
70	1707	697
71	1728	672
72	1749	647
73	1772	622
74	1794	598
75	1816	573
76	1839	549
77	1861	524
78	1883	500
79	1912	478
80	1939	455
81	1962	430
82	1985	406
83	2008	382
84	2032	358
85	2055	334
86	2077	310
87	2098	286
88	2125	262
89	2149	238
90	2172	214
91	2194	190
92	2216	166
93	2238	142
94	2259	118
95	2280	95
96	2302	71
97	2324	47
98	2347	23
99	2381	0
